,1,2,3,4,5,6,7,8,9,10,11,12,13
1392.9,2.39E-01,2.37E-01,2.33E-01,2.25E-01,2.15E-01,2.02E-01,1.78E-01,1.62E-01,1.37E-01,9.07E-02,6.89E-02,6.70E-02,6.59E-02
1391,3.20E-01,3.26E-01,3.29E-01,3.31E-01,3.30E-01,3.21E-01,2.90E-01,2.70E-01,2.25E-01,1.33E-01,8.95E-02,8.61E-02,8.43E-02
1389.1,4.47E-01,4.64E-01,4.81E-01,4.98E-01,5.12E-01,5.09E-01,4.67E-01,4.42E-01,3.67E-01,2.00E-01,1.22E-01,1.16E-01,1.13E-01
1387.2,4.93E-01,5.13E-01,5.35E-01,5.56E-01,5.75E-01,5.73E-01,5.26E-01,5.00E-01,4.14E-01,2.27E-01,1.40E-01,1.33E-01,1.30E-01
1385.2,4.30E-01,4.40E-01,4.50E-01,4.58E-01,4.63E-01,4.53E-01,4.11E-01,3.86E-01,3.21E-01,1.90E-01,1.29E-01,1.24E-01,1.22E-01
1383.3,3.80E-01,3.80E-01,3.77E-01,3.70E-01,3.60E-01,3.41E-01,3.02E-01,2.78E-01,2.35E-01,1.56E-01,1.19E-01,1.15E-01,1.14E-01
1381.4,3.75E-01,3.67E-01,3.54E-01,3.34E-01,3.10E-01,2.83E-01,2.44E-01,2.19E-01,1.88E-01,1.39E-01,1.16E-01,1.14E-01,1.12E-01
1379.4,4.02E-01,3.88E-01,3.67E-01,3.36E-01,3.02E-01,2.66E-01,2.23E-01,1.95E-01,1.69E-01,1.35E-01,1.18E-01,1.17E-01,1.15E-01
1377.5,4.27E-01,4.08E-01,3.80E-01,3.42E-01,3.00E-01,2.58E-01,2.13E-01,1.83E-01,1.60E-01,1.36E-01,1.23E-01,1.22E-01,1.21E-01
1375.6,4.35E-01,4.12E-01,3.80E-01,3.37E-01,2.92E-01,2.48E-01,2.03E-01,1.74E-01,1.55E-01,1.37E-01,1.27E-01,1.26E-01,1.25E-01
1373.6,4.47E-01,4.18E-01,3.81E-01,3.31E-01,2.81E-01,2.34E-01,1.89E-01,1.60E-01,1.45E-01,1.35E-01,1.29E-01,1.27E-01,1.27E-01
